longitude,latitude,genus
20.06388,48.76402,Acanthophila
20.06388,48.76402,Acleris
20.40625,48.57388,Acleris
20.06388,48.76402,Acompsia
20.04838,48.7507,Acrobasis
20.06388,48.76402,Acrobasis
20.40625,48.57388,Acrobasis
20.06388,48.76402,Acrolepiopsis
20.40625,48.57388,Acronicta
20.40625,48.57388,Actenia
20.40625,48.57388,Actinotia
20.06388,48.76402,Agdistis
20.06388,48.76402,Agonopterix
20.40625,48.57388,Agonopterix
20.06388,48.76402,Agrotis
20.40625,48.57388,Albocosta
20.06388,48.76402,Alcis
20.06388,48.76402,Alucita
20.0552,48.74651,Amata
20.04838,48.7507,Amphipyra
20.06388,48.76402,Amphipyra
20.40625,48.57388,Amphipyra
20.40625,48.57388,Anarsia
20.06388,48.76402,Ancylis
20.06388,48.76402,Apamea
20.40625,48.57388,Apamea
20.40625,48.57388,Apatema
20.01983,48.76266,Apatura
20.05232,48.76292,Apatura
20.06388,48.76402,Aphomia
20.06388,48.76402,Aplocera
20.40625,48.57388,Aplota
20.40625,48.57388,Apodia
20.06388,48.76402,Apotomis
20.04838,48.7507,Aproaerema
20.06388,48.76402,Aproaerema
20.01983,48.76266,Argynnis
20.06388,48.76402,Argyresthia
20.40625,48.57388,Argyresthia
20.04838,48.7507,Aristotelia
20.40625,48.57388,Aristotelia
20.40625,48.57388,Ascotis
20.40625,48.57388,Auchmis
20.06388,48.76402,Autographa
20.40625,48.57388,Autographa
20.06388,48.76402,Batia
20.40625,48.57388,Batia
20.40625,48.57388,Bena
20.06388,48.76402,Blastobasis
20.40625,48.57388,Borkhausenia
20.40625,48.57388,Cabera
20.40625,48.57388,Calamia
20.04838,48.7507,Calophasia
20.40625,48.57388,Calophasia
20.40625,48.57388,Campaea
20.40625,48.57388,Camptogramma
20.06388,48.76402,Carcina
20.40625,48.57388,Carcina
20.40625,48.57388,Cataclysme
20.06388,48.76402,Cateremna
20.06388,48.76402,Catocala
20.06388,48.76402,Catoptria
20.40625,48.57388,Catoptria
20.04838,48.7507,Celerio
20.06388,48.76402,Celypha
20.40625,48.57388,Celypha
20.40625,48.57388,Cephalispheira
20.06388,48.76402,Charissa
20.40625,48.57388,Charissa
20.40625,48.57388,Chersotis
20.04838,48.7507,Chiasmia
20.40625,48.57388,Chiasmia
20.06388,48.76402,Cidaria
20.04838,48.7507,Clepsis
20.06388,48.76402,Clepsis
20.04838,48.7507,Clostera
20.40625,48.57388,Clostera
20.06388,48.76402,Cnephasia
20.40625,48.57388,Coleophora
20.01983,48.76266,Colias
20.04838,48.7507,Colocasia
20.06388,48.76402,Colocasia
20.40625,48.57388,Colocasia
20.06388,48.76402,Colostygia
20.40625,48.57388,Colostygia
20.06388,48.76402,Cosmia
20.40625,48.57388,Cosmia
20.04838,48.7507,Cosmorhoe
20.40625,48.57388,Cosmorhoe
20.04838,48.7507,Craniophora
20.06388,48.76402,Craniophora
20.40625,48.57388,Craniophora
20.06388,48.76402,Crocallis
20.40625,48.57388,Crocallis
20.06388,48.76402,Cryphia
20.40625,48.57388,Cryphia
20.40625,48.57388,Cucullia
20.06388,48.76402,Cyclophora
20.06388,48.76402,Cydia
20.40625,48.57388,Cydia
20.40625,48.57388,Deilephila
20.06388,48.76402,Deileptenia
20.40625,48.57388,Diachrysia
20.06388,48.76402,Diarsia
20.04838,48.7507,Dioryctria
20.06388,48.76402,Dioryctria
20.40625,48.57388,Dolicharthria
20.40625,48.57388,Drepana
20.40625,48.57388,Dypterygia
20.04838,48.7507,Dysauxes
20.40625,48.57388,Dysauxes
20.04838,48.7507,Eana
20.06388,48.76402,Eana
20.40625,48.57388,Eana
20.40625,48.57388,Ectropis
20.04838,48.7507,Eilema
20.06388,48.76402,Eilema
20.40625,48.57388,Eilema
20.04838,48.7507,Elachista
20.40625,48.57388,Elachista
20.06388,48.76402,Elegia
20.40625,48.57388,Elophila
20.40625,48.57388,Emmelia
20.06388,48.76402,Emmelina
20.06388,48.76402,Endotricha
20.06388,48.76402,Epagoge
20.04838,48.7507,Epilecta
20.40625,48.57388,Epilecta
20.06388,48.76402,Epirrhoe
20.40625,48.57388,Epirrhoe
20.01983,48.76266,Erebia
20.04838,48.7507,Ethmia
20.06388,48.76402,Ethmia
20.40625,48.57388,Ethmia
20.06388,48.76402,Eublemma
20.40625,48.57388,Eublemma
20.06388,48.76402,Eucosma
20.40625,48.57388,Eudemis
20.06388,48.76402,Eugnorisma
20.06388,48.76402,Eulamprotes
20.06388,48.76402,Euphyia
20.40625,48.57388,Euphyia
20.06388,48.76402,Eupithecia
20.40625,48.57388,Eupithecia
20.02284,48.74685,Euplagia
20.05232,48.76292,Euplagia
20.05958,48.75941,Euplagia
20.06388,48.76402,Euplagia
20.40625,48.57388,Euplagia
20.06388,48.76402,Eupoecilia
20.06388,48.76402,Euxoa
20.04838,48.7507,Euzophera
20.06388,48.76402,Euzophera
20.40625,48.57388,Euzophera
20.06388,48.76402,Evergestis
20.40625,48.57388,Evergestis
20.40625,48.57388,Falseuncaria
20.04838,48.7507,Galleria
20.04838,48.7507,Gelechia
20.06388,48.76402,Gelechia
20.40625,48.57388,Gelechia
20.40625,48.57388,Glyphipterix
20.04838,48.7507,Gnophos
20.06388,48.76402,Gnophos
20.06189,48.76227,Gonepteryx
20.06388,48.76402,Habrosyne
20.06388,48.76402,Harpella
20.40625,48.57388,Harpella
20.04838,48.7507,Hoplodrina
20.06388,48.76402,Hoplodrina
20.40625,48.57388,Hoplodrina
20.06388,48.76402,Hydriomena
20.06388,48.76402,Hyles
20.04838,48.7507,Hypatopa
20.06388,48.76402,Hypatopa
20.40625,48.57388,Hypatopa
20.06388,48.76402,Hypena
20.40625,48.57388,Hypena
20.06388,48.76402,Hypomecis
20.40625,48.57388,Hypomecis
20.06388,48.76402,Idaea
20.40625,48.57388,Idaea
20.40625,48.57388,Idia
20.40625,48.57388,Laspeyria
20.06388,48.76402,Ligdia
20.06388,48.76402,Lithosia
20.40625,48.57388,Lithosia
20.06388,48.76402,Lomographa
20.40625,48.57388,Lomographa
20.01983,48.76266,Lycaena
20.04838,48.7507,Lymantria
20.06388,48.76402,Lymantria
20.40625,48.57388,Lymantria
20.06388,48.76402,Malacosoma
20.06388,48.76402,Mamestra
20.40625,48.57388,Mamestra
20.40625,48.57388,Mecyna
20.40625,48.57388,Melitaea
20.40625,48.57388,Mesophleps
20.40625,48.57388,Metachrostis
20.40625,48.57388,Metasia
20.06388,48.76402,Miltochrista
20.40625,48.57388,Mimas
20.04838,48.7507,Minoa
20.40625,48.57388,Minoa
20.04838,48.7507,Mirificarma
20.06388,48.76402,Mirificarma
20.40625,48.57388,Mirificarma
20.06388,48.76402,Morophaga
20.06388,48.76402,Mythimna
20.40625,48.57388,Mythimna
20.40625,48.57388,Nephopterix
20.06388,48.76402,Niditinea
20.06388,48.76402,Noctua
20.40625,48.57388,Noctua
20.40625,48.57388,Nothris
20.06388,48.76402,Notocelia
20.40625,48.57388,Notocelia
20.04838,48.7507,Ochropleura
20.40625,48.57388,Ochropleura
20.40625,48.57388,Ocneria
20.06388,48.76402,Oecophora
20.04838,48.7507,Oegoconia
20.06388,48.76402,Oegoconia
20.40625,48.57388,Oegoconia
20.06388,48.76402,Oncocera
20.40625,48.57388,Oncocera
20.06388,48.76402,Orthopygia
20.40625,48.57388,Orthopygia
20.06388,48.76402,Pammene
20.40625,48.57388,Pancalia
20.06388,48.76402,Pandemis
20.03091,48.76847,Papilio
20.05232,48.76292,Papilio
20.05958,48.75941,Papilio
20.06388,48.76402,Paracolax
20.40625,48.57388,Paracolax
20.06388,48.76402,Paradarisa
20.06388,48.76402,Paramesia
20.40625,48.57388,Parornix
20.04838,48.7507,Pempelia
20.06388,48.76402,Pempelia
20.40625,48.57388,Pempelia
20.04838,48.7507,Peribatodes
20.06388,48.76402,Peribatodes
20.01983,48.76266,Perizoma
20.04838,48.7507,Perizoma
20.06388,48.76402,Perizoma
20.40625,48.57388,Perizoma
20.06388,48.76402,Phalonidia
20.40625,48.57388,Phalonidia
20.06388,48.76402,Pheosia
20.40625,48.57388,Pheosia
20.40625,48.57388,Philedone
20.40625,48.57388,Phragmatiphila
20.40625,48.57388,Phycita
20.01983,48.76266,Pieris
20.06388,48.76402,Plagodis
20.06388,48.76402,Plemyria
20.04838,48.7507,Pleuroptya
20.06388,48.76402,Pleuroptya
20.40625,48.57388,Pleuroptya
20.01983,48.76266,Polygonia
20.40625,48.57388,Polymixis
20.01983,48.76266,Polyommatus
20.40625,48.57388,Polyphaenis
20.06388,48.76402,Pseudatemelia
20.04838,48.7507,Pseudeustrotia
20.40625,48.57388,Pseudeustrotia
20.00083,48.71444,Pterophorus
20.06388,48.76402,Ptycholomoides
20.40625,48.57388,Pyralis
20.40625,48.57388,Pyrausta
20.01983,48.76266,Pyrgus
20.40625,48.57388,Pyrrhia
20.04838,48.7507,Sabra
20.40625,48.57388,Schrankia
20.06388,48.76402,Scoparia
20.40625,48.57388,Scopula
20.06388,48.76402,Scotopteryx
20.40625,48.57388,Scotopteryx
20.04838,48.7507,Scythris
20.40625,48.57388,Scythris
20.06388,48.76402,Selagia
20.40625,48.57388,Selagia
20.04838,48.7507,Spatalia
20.40625,48.57388,Spatalia
20.40625,48.57388,Sphinx
20.06388,48.76402,Spilonota
20.40625,48.57388,Stauropus
20.40625,48.57388,Teleiodes
20.06388,48.76402,Teleiopsis
20.40625,48.57388,Tephrina
20.40625,48.57388,Tethea
20.40625,48.57388,Thaumetopoea
20.06388,48.76402,Thiodia
20.06388,48.76402,Thyatira
20.01983,48.76266,Thymelicus
20.40625,48.57388,Trachea
20.06388,48.76402,Trachycera
20.40625,48.57388,Trachycera
20.40625,48.57388,Triphosa
20.40625,48.57388,Tyta
20.06388,48.76402,Udea
20.06388,48.76402,Uresiphita
20.40625,48.57388,Uresiphita
20.06388,48.76402,Watsonalla
20.06388,48.76402,Xanthorhoe
20.06388,48.76402,Xestia
20.40625,48.57388,Xestia
20.06388,48.76402,Yponomeuta
20.04838,48.7507,Ypsolopha
20.06388,48.76402,Ypsolopha
20.40625,48.57388,Ypsolopha
20.40625,48.57388,Zeiraphera
20.40625,48.57388,Zeuzera
20.01983,48.76266,Zygaena
